name,location,price_lacs,area_sqft,bhk,is_reviewed
"behala chowrasta, kolkata, kolkata south",behala chowrasta,40.0,855,2,0
sherwood estate,narendrapur,60.0,927,2,1
mayuree apartment,a block lake town,75.0,1384,3,0
"baguihati, vip road, kolkata north","baguihati, vip road",390.0,2879,9,0
no. 8,jodhpur park,102.0,1050,2,0
subarna bhoomi,dum dum,70.0,1178,2,0
rishi pranaya,rajarhat,90.0,954,2,0
"tirupati galaxy,","dum dum cantt, south dumdum",45.0,1100,2,0
tirath devi appartment,"bablatala, rajarhat",70.0,1048,3,0
charu villa,dum dum,87.0,1330,3,0
"lake gardens, kolkata, kolkata south",lake gardens,82.0,1278,3,0
saptak apartment,"sangati colony, netaji nagar",84.0,1600,4,0
"uttrayan apartment-i, uttrayan","surah, hooghly",56.0,1116,3,0
fortune city,madhyamgram,32.0,819,2,1
south wind,"rajpur, southern bypass",85.0,1265,3,0
cmc housing society,purba barisha,16.5,500,1,0
swarnabhoomi,"santragachi, howrah",57.5,1500,3,0
orchard avaasa,ar park,85.0,1053,2,0
promod bhavan,jadavpur,40.0,525,2,0
central government welfare housing society,"pailan, diamond harbour road",91.0,2160,6,0
oswal orchard county,"belgharia, bt road",114.99999999999999,1817,4,1
ozone,"em bypass,  south",145.0,1233,3,0
"prince anwar shah rd, kolkata, kolkata south",ce anwar shah rd,200.0,3300,8,0
duplex,kasba,46.0,780,2,0
ambey green,rajarhat,50.0,790,2,0
the ektaa hibiscus,tangra,180.0,1750,3,0
jupiter airport residency,birati,58.0,991,2,0
shubham residency,"226 nayabad avenue,  south",65.0,1200,3,0
vinayak pride,"kamalgazi, southern bypass",72.0,1371,3,0
bengal peerless avidipta phase 2,mukundapur,240.0,1677,3,1
akanto apon,"madurdaha, em bypass",55.0,920,2,0
ashirbad,james long sarani,120.0,1250,3,0
ananda apartment,"nager bazar, jessore road",62.0,1085,2,0
prudent prana,garia,80.0,1300,3,0
basu rupasi abasan,rajarhat,31.0,907,2,0
"tollygunge, kolkata, kolkata south",tollygunge,400.0,4500,5,0
"agarpara, panihati, kolkata north","agarpara, panihati",11.5,460,1,0
surya niwas housing society,"park circus, ballygunge",74.0,917,2,0
santanu apartment,kasba,110.00000000000001,1370,3,0
sibon road,"khardah, bt road",50.0,1295,4,0
imperial riddhi siddhi.,"joka,  south",36.0,709,2,0
swan court,new town,80.0,1012,2,1
"garia, kolkata, kolkata south",garia,100.0,1500,4,0
kalindi housing estate,lake town,42.0,850,2,0
rupayan,jodhpur park,150.0,1288,3,0
bashbhumi apartment,garia,35.0,925,2,0
"bosepukur, kasba, kolkata south","bosepukur, kasba",62.0,950,2,0
rajendra apartments,"patipukur, south dumdum",45.0,696,2,0
lokenath house,"halisahar, kanchrapara, north 24 parganas",34.32,1144,3,0
"kaikhali, vip road, kolkata north","kaikhali, vip road",65.0,1025,3,0
purbashree samvaya,entally,67.0,707,2,0
daffodil duke residency,tollygunge,90.0,1090,2,0
diamond city north jessore road,"satgachi, south dumdum",147.0,1567,3,0
mayfair parkview,new town,75.0,1100,3,0
godrej prakriti,"sodepur,  north",56.0,996,2,1
om niwas,"silpara, barisha",75.0,1490,3,0
teesta torsha housing,new town action area 1a,150.0,1122,3,0
"dobson lane, madhusudan apartment","shibpur, howrah",59.95,1200,2,0
banalata apartment,haltu,60.0,1100,3,0
merlin the one,tollygunge,170.0,1040,3,1
"light house, ram krishna pally",mukundapur,60.0,940,2,0
"behala, kolkata, kolkata south",behala,85.0,1215,5,0
jain dream world city,"joka,  south",55.0,1010,3,0
"shantiniketan appartment, behala",behala,68.0,1296,2,0
icche 3 brahmapur south end,garia,20.0,600,2,0
shubhashisham,"desh bandhu nagar, baguiati",29.0,795,2,0
"new town, kolkata, kolkata east",new town,75.0,1180,3,0
ankur apartment,behala chowrasta,35.0,860,2,0
ujjala complex,new town,130.0,13000,2,0
ambey eco valley,new town,90.0,941,2,0
karunamoyee apartment,"bally, howrah",38.0,1050,2,0
"neerab apartment,",ballygunge park,125.0,972,2,0
railway officers coop housing society,ballygunge park,75.0,850,2,0
ganguly 4 sight model town,garia,68.0,972,2,0
ganguly 4 sight model town,garia,63.0,972,2,0
imperial riddhi siddhi,"joka,  south",41.0,958,3,0
rishi ecoview,new town,90.0,1350,2,1
on request,rekjuani,31.0,822,2,0
mani casa,new town,200.0,1515,3,0
chapala debkunja complex,madhyamgram,20.0,694,2,0
fort oasis,ballygunge,225.0,1588,3,1
the elite tower,thi,55.0,1051,3,0
delux complex,birati,27.0,716,2,0
manimala residency,"east balia, garia",34.0,848,2,0
anamika chs,action area 1,95.0,1480,3,0
irabati apartment,jadavpur,60.0,1250,3,0
south city,ce anwar shah rd,400.0,2068,4,1
"lokenath apartments, silpara","silpara, barisha",27.0,645,2,0
"patuli, em bypass, kolkata south","patuli, em bypass",200.0,12000,7,0
dum,dum dum park,45.0,921,2,0
netajinagar police station,tollygunge,55.0,955,3,0
"new panchanantala, putiary, kolkata, kolkata south","new panchanantala, putiary",26.0,680,2,0
urbana,"em bypass,  south",350.0,2050,3,1
"new barrakpur, kolkata, kolkata north",new barrakpur,26.0,945,2,0
on request,rajarhat,39.0,1106,3,0
mani vista,tollygunge,276.0,1822,3,1
jeet group,nayabad,45.0,981,2,0
siddha eden lakeville,bt road,125.0,1450,3,1
jeet group,nayabad,39.15,870,2,0
heavens gateway,narendrapur,31.0,911,2,0
magnolia prestige housing complex,bishnupur,40.0,850,2,0
sova villa,madhyamgram,29.09,831,2,0
jeet group,"purbalok, em bypass",84.57,1301,3,0
raj gardens,"sarat chatterjee avenue,  south",300.0,2400,4,0
jeet group,nayabad,49.86,1108,3,0
shrachi greenwood elements,new town,56.0,822,2,1
aditi apartment,"dum dum cantt, south dumdum",52.0,1260,3,0
south city,ce anwar shah rd,235.0,1472,3,1
lake town complex,lake town,100.0,1300,3,0
"mukundapur colony, santoshpur, kolkata south","mukundapur colony, santoshpur",64.9,1180,3,0
eden city maheshtala,maheshtala,41.5,1524,3,1
shivshakti apartment,"agarpara, panihati",40.0,1260,3,0
the soul,rajarhat,80.0,610,2,1
siddha happyville,rajarhat,112.99999999999999,1397,3,1
elita garden vista,new town,124.0,1742,3,1
shivalaya apartment,"sakher bazar, barisha",45.0,1220,2,0
dtc southern heights,"joka,  south",83.0,1370,3,0
rdb regent ganga,"uttarpara, hooghly",55.0,1196,3,0
shrachi greenwood nest,new town,165.0,1748,3,1
soma villa,madhyamgram,30.34,867,2,0
rani kuthi,madhyamgram,27.19,824,2,0
soma villa,madhyamgram,31.57,902,2,0
individual apartment,action area 1,65.0,1098,2,0
rishi ecoview,new town,83.0,1384,3,1
new,"ananya, bara nagar",29.0,670,2,0
unimark springfield,rajarhat,84.0,1355,3,1
unimark springfield,rajarhat,60.0,971,2,1
jeet group,nayabad,50.0,1090,3,0
jeet group,"madurdaha, em bypass",67.0,1275,3,0
jeet group,nayabad,50.0,1108,3,0
jeet group,nayabad,45.0,980,2,0
"birati, kolkata, kolkata north",birati,250.0,3600,7,0
baikuntha ghosh road,kasba,38.0,650,2,0
jonaki,"sodepur,  north",28.8,884,2,0
classic tower,ballygunge,210.0,1852,3,0
swan green,thakurpukur,47.0,894,2,0
aristocrat,"sodepur,  north",34.0,1000,2,0
phizers,action area 1,97.0,1490,3,0
sb enterpise,new town,98.0,1481,3,0
rani kuthi,madhyamgram,25.61,776,2,0
ranikuthi,madhyamgram,25.01,758,2,0
sova villa,madhyamgram,31.08,888,2,0
residential apartment,"raypara, rekjuani",31.0,885,2,0
brick city,gariahat,143.0,1100,2,0
cooperative flat,new town,87.0,1181,3,0
brick city,gariahat,243.00000000000003,1900,3,0
sristi apartment,"sakher bazar, barisha",29.0,672,2,0
ps one 10,new town,280.0,2166,4,1
anupama co operative society,vip road,52.0,1150,3,0
ncha 181 nsc basu road kol,"rajpur sonarpur,  south",30.0,950,2,0
brick city,jadavpur,79.2,1320,3,0
sarovaar,action area 3,60.97,1163,3,0
sarovaar,action area 3,59.05,1125,3,0
sarovaar,action area 3,32.7,606,1,0
sarovaar,new town,47.68,901,2,0
sarovaar apartment,action area 3,31.13,575,1,0
ambuja udita,"survey park, santoshpur",65.0,805,1,0
eden brookside,thakurpukur,43.0,1140,3,0
sova villa,madhyamgram,29.37,839,2,0
the banyan tree sunland residency,rajarhat,95.0,1479,3,0
siddha galaxia,rajarhat,135.0,1290,3,1
urban greens phase 2,rajarhat,102.0,1350,3,0
urban greens phase 2,rajarhat,115.99999999999999,1400,3,0
urban greens phase 1,"dash drone, rajarhat",85.0,1250,3,0
urban greens phase 1,"dash drone, rajarhat",68.0,910,2,0
sb enterprise,new town,98.0,1480,3,0
brick city,gariahat,220.00000000000003,1700,3,0
sb enterprises,action area 3,68.0,1251,3,0
cb goel mig,action area 1,85.0,1250,3,0
tirath apartment,ar park,74.0,1353,3,0
on request,"madurdaha, em bypass",57.0,1450,3,0
heavens gateway,narendrapur,35.46,1043,2,0
heavens gateway,narendrapur,34.0,1002,2,0
heavens gateway,narendrapur,33.25,978,2,0
heavens gateway,narendrapur,34.0,1000,2,0
swan court,new town,140.0,1670,3,1
signum windmere,madhyamgram,70.0,900,3,0
tata 88 east,alipore,450.0,1500,3,0
rishi ecoview,new town,95.0,1384,3,1
siddha eden lakeville,bt road,51.0,725,2,1
s u abason,"uttarpara, hooghly",34.0,848,2,0
shakuntala ii,nayabad,41.0,825,2,0
shakuntala ii,nayabad,38.0,775,2,0
on request,"purbalok, em bypass",90.0,1307,3,0
sova villa,madhyamgram,29.08,831,2,0
rani kuthi,madhyamgram,18.91,573,1,0
tirupati paradise,narendrapur,32.83,938,2,0
bengal dcl sampoorna,action area 2,303.0,3700,5,1
greenfield ambition,rajarhat,56.0,780,2,0
on request,jodhpur park,470.0,5000,4,0
bengal dcl sampoorna,action area 2,330.0,3303,5,1
the 102,"joka,  south",50.0,906,2,1
on request,"abdalpur, madhyamgram",60.0,2500,4,0
on request,"abdalpur, madhyamgram",38.0,1080,2,0
rani kuthi,madhyamgram,18.51,561,1,0
"bc block newtown, action area 1, kolkata east","bc block newtown, action area 1,  east",85.0,1250,3,0
magnolia oxygen,rajarhat,75.0,1170,3,1
rani kuthi,madhyamgram,24.68,748,2,0
"shivam prisma, uttarpara","makhla government colony, uttarpara",28.49,1075,3,0
sammillani park,"ajoy nagar, santoshpur",55.0,1010,2,0
rani kuthi,madhyamgram,16.43,498,1,0
pratima sunshine,nayabad,48.0,980,3,0
sarovaar,action area 3,47.68,901,2,0
sarovaar,action area 3,51.23,971,2,0
bengal peerless avidipta phase 2,mukundapur,130.0,935,2,1
gk mansion,birati,29.75,850,2,0
bengal peerless avidipta phase 2,mukundapur,80.0,735,2,1
on request,"lake view road, ballygunge",180.0,1550,3,0
on request,"panditiya road , ballygunge",320.0,3000,6,0
on request,hazra road,122.0,1283,3,0
on request new,"madurdaha, em bypass",101.0,1550,3,0
on request new,"madurdaha, em bypass",80.0,1240,3,0
on request,new garia,92.56,1424,3,0
brick city,ce anwar shah rd,114.99999999999999,1489,3,0
siddha eden lakeville,bt road,66.0,840,2,1
brick city,"dhakuria, southern avenue",95.0,1090,2,0
siddha eden lakeville,bt road,64.0,795,2,1
on request new,thakurpukur,34.85,1025,3,0
ideal aquaview,new town,127.0,1475,3,1
on request,bansdroni,53.0,900,2,0
on request,bansdroni,71.5,1100,3,0
on request,garia,36.0,774,2,0
hiland park,"em bypass,  south",105.0,1264,3,1
merlin elements,new alipore,210.0,1794,3,0
on request,"lake view road, ballygunge",220.00000000000003,1850,3,0
residential apartment,jodhpur park,42.0,725,2,0
on request,"madurdaha, em bypass",41.0,850,2,0
on request,"madurdaha, em bypass",84.0,1700,3,0
urban greens phase 2,rajarhat,72.0,920,2,0
eden tolly greenwood,"ramchandrapur, narendrapur",36.0,1196,2,0
rishi ecoview,new town,110.00000000000001,1842,3,1
nirmala orchid,south dumdum,106.0,1397,3,0
nirmala orchid,south dumdum,57.9,919,2,0
on request,mukundapur,95.0,1300,3,0
hari krishna,action area 1,105.0,1480,3,0
hari krishna,action area 1,105.0,1480,3,0
hari krishna,action area 1,105.0,1485,3,0
hari krishna,action area 1,105.0,1490,3,0
on request,jodhpur park,160.0,1450,3,0
on request,ganguly bagan,55.25,850,2,0
swarna kuthi ii,"hb town, sodepur",42.0,1390,3,0
amar enclave,"rathtala,  north",35.5,816,2,0
hiland park,"em bypass,  south",90.0,1206,2,1
sova villa,madhyamgram,29.09,831,2,0
purti veda,new town,114.99999999999999,1261,3,0
"madhyamgram, kolkata, kolkata north",madhyamgram,56.0,1500,3,0
purti veda.,new town,107.0,1261,3,0
urbana,"em bypass,  south",375.0,1883,3,1
rishi ecoview,new town,88.0,1316,3,1
ganga jamuna apartment,tollygunge,130.0,1025,3,0
protiti,jodhpur park,165.0,1500,3,0
protiti,jodhpur park,325.0,3000,6,0
upohar the condoville,garia,290.0,3620,4,0
eden pavilion,"fartabad, garia",75.0,1404,3,0
eden pavilion,"fartabad, garia",75.0,1251,3,0
bakul binayak,nayabad,62.0,1350,3,0
standalone apartments,jodhpur park,190.0,1712,3,0
chorus apartment,new town,143.0,1550,3,0
green verge,new town,62.0,1050,2,0
hidco appartment,new town,98.0,1350,3,0
aqua view,new town,62.0,900,2,0
agr,action area 1,120.0,1700,3,0
tata avenida,new town,302.0,2385,3,1
"durga apartment, uttarpara","dmotor, uttarpara",27.5,970,2,0
mohorkunja ii,"chit kalikapur, mukundapur",69.0,1117,3,0
soma villa,madhyamgram,26.6,760,2,0
soma villa,madhyamgram,35.84,1024,3,0
sonali apartment,"tarapukur west, panihati",21.5,765,2,0
standalone building,new town,97.0,1310,3,0
rajwada altitude,"em bypass,  south",106.0,1455,3,1
on request,purba barisha,60.0,1131,3,0
nataraj,"mahamayatala, garia",35.0,980,2,0
sangeetayan,garia,35.0,1000,2,0
khatti mithi,"naktala, garia",48.0,799,2,0
on request,"dustan more, garia",52.0,1040,2,0
tripurasundari apartment,"mahamayatala, garia",50.0,1210,3,0
basant bahar kolkata,"mahamayatala, garia",38.0,800,2,0
deeshari megacity,southern bypass,45.0,1292,4,1
deeshari megacity,southern bypass,38.25,1268,3,1
deeshari megacity,southern bypass,37.25,1268,3,1
deeshari megacity,southern bypass,37.0,1268,3,1
deeshari megacity,southern bypass,38.0,1268,3,1
atri aqua,narendrapur,40.0,856,2,0
atri aqua,narendrapur,35.0,856,2,0
atri aqua,narendrapur,27.5,694,1,0
atri aqua,narendrapur,49.0,1162,3,0
atri aqua,narendrapur,50.0,1162,3,0
atri rays,narendrapur,46.0,1018,3,0
on request,"saha para, fartabad, garia",58.5,1044,2,0
swastik bajaj kunj,lake town,147.0,1720,3,0
swastik bajaj kunj,lake town,131.0,1747,3,0
swastik bajaj kunj,lake town,192.0,2548,4,0
swastik bajaj kunj,lake town,130.0,1715,3,0
garden residency,"kamarhati, panihati",65.0,1271,3,0
blue pearl apartment,dunlop,65.0,1420,3,0
saket nagar,dunlop,75.5,1452,3,0
purti star,rajarhat,86.0,1349,3,0
dream bhagirathi apartment,"pathanpur, birati",38.34,1065,3,0
individual,action area 2,65.0,1000,2,0
on request,"ac block newtown, action area 1",88.0,1250,3,0
on request,"ba block newtown, action area 1",72.0,1250,3,0
on request,"ak block newtown, action area 1",80.0,1250,3,0
on request,new town,112.00000000000001,1370,3,0
on request,new town,95.0,1495,3,0
on request,new town,119.0,1450,3,0
on request,new town,150.0,1480,3,0
on request,new town,175.0,2375,4,0
on request,new town,95.0,1450,2,0
on request,new town,100.0,1500,3,0
swan court,new town,150.0,1670,3,1
cooperative,new town,132.0,1480,3,0
"new town, kolkata, kolkata east",new town,112.00000000000001,1723,3,0
individual,new town,105.0,1700,3,0
on request,new town,95.0,1460,3,0
co operative,new town,95.0,1450,3,0
indivisual,new town,123.0,1840,3,0
indivisual,new town,82.0,1100,3,0
indivisual,new town,67.0,950,2,0
on request,new town,60.0,1100,2,0
hari krishna,action area 1,105.0,1486,3,0
on request,"baguihati, vip road",27.45,686,2,0
on request,"purbalok, em bypass",90.0,1300,3,0
swasti apartment airport,"airport, dum dum",51.0,1374,3,0
on request,new garia,53.0,1250,3,0
on request,"g development society, panchpota",36.0,720,2,0
oas lake life township,"joka,  south",23.0,888,3,0
oas lake life township,"joka,  south",86.0,1800,4,0
oas lake life township,"joka,  south",85.0,2160,4,0
oas lake life township,"joka,  south",65.0,2160,3,0
oas lake life township,"joka,  south",52.25,1293,3,0
oas lake life township,"joka,  south",110.00000000000001,2880,3,0
oas lake life township,"joka,  south",80.0,2160,3,0
oas lake life township,"joka,  south",65.0,1800,3,0
oas lake life township,"joka,  south",39.0,1080,2,0
oas lake life township,"joka,  south",48.0,1200,3,0
shakuntala ii,nayabad,48.0,1050,3,0
heavens gateway,narendrapur,29.5,870,2,0
mega star chs,action area 1,82.0,1250,3,0
eden harmony,"em bypass,  south",58.0,1176,3,0
on request,"madurdaha, em bypass",95.0,1593,3,0
on request,purba barisha,40.0,775,2,0
merlin urvan,dum dum,130.0,1097,3,1
charu residency,tollygunge,70.0,931,2,0
sankalpa apartment,"manton, diamond harbour road",39.0,800,2,0
sugam park,narendrapur,75.0,1875,3,0
rajwada pebble bay,"pratapgarh, garia",55.0,965,2,0
merlin maximus,"sodepur,  north",40.0,595,2,1
bengal shapoorji shukhobristhi,new town,57.0,902,3,1
on request,madhyamgram,65.0,2200,4,0
on request,"abdalpur, madhyamgram",34.0,1080,2,0
jeet group,nayabad,41.4,920,2,0
jeet group,nayabad,50.4,1120,3,0
jeet group,"purbalok, em bypass",85.15,1310,3,0
jeet group,"madurdaha, em bypass",65.0,1270,3,0
jeet group,nayabad,50.0,1115,3,0
magnolia grand,chotto chandpur,52.0,1228,3,0
jeet group,nayabad,49.95,1110,3,0
siddha happyville,rajarhat,76.0,1080,2,1
magnolia oxygen,rajarhat,54.0,897,2,1
siddha happyville,rajarhat,85.0,1080,2,1
jeet group,"madurdaha, em bypass",67.0,1170,3,0
ch panditiya,gariahat,144.0,1284,3,0
sai residency,"uttarpara, hooghly",35.0,887,2,0
"shivam prisma, uttarpara","makhla, uttarpara",19.32,805,2,0
bb pride,action area 1,99.0,1480,3,0
on request,"mahamayatala, garia",51.5,1025,2,0
green field city,maheshtala,36.0,893,3,0
green field city,maheshtala,55.0,1110,3,0
green field city,maheshtala,60.0,1358,3,0
on request,"mahamayatala, garia",51.0,1025,2,0
eden saffron,nayabad,65.0,1223,3,0
exide apartment,action area 1,110.00000000000001,1470,3,0
on request,"cb block newtown, action area 1",82.0,1250,3,0
greenfield city elite,behala,61.0,1250,3,0
on request,"airport, dum dum",34.0,919,2,0
on request,"airport, dum dum",34.6,935,2,0
residential apartment,south dumdum,46.0,700,2,0
mohorkunja ii,"chit kalikapur, mukundapur",69.5,1117,3,0
mohorkunja ii,"chit kalikapur, mukundapur",70.0,1168,3,0
pelican breeze,nayabad,45.0,979,2,0
ps palm spring,tangra,150.0,1381,3,0
on request,new alipore block g,260.0,2400,4,0
mani vista,tollygunge,290.0,1925,3,1
merlin elements,new alipore,240.0,2150,4,0
ideal exotica,new alipore,445.0,3305,4,1
ideal exotica,new alipore,350.0,2560,3,1
on request,new alipore,495.0,2200,7,0
on request,"swiss park, tollygunge",75.0,880,2,0
srijan natura,new alipore,144.0,1224,3,0
morya,tollygunge,180.0,1400,3,1
morya,tollygunge,305.0,2700,4,1
hiland park,"em bypass,  south",111.00000000000001,1264,3,1
hiland park,"em bypass,  south",300.0,4500,4,1
hiland park,"em bypass,  south",107.0,1264,3,1
siddha eden lakeville,bt road,65.0,705,2,1
unimark springfield,rajarhat,80.0,1280,3,1
north grande,"durganagar, belgharia expressway",63.0,1145,2,1
north grande,"durganagar, belgharia expressway",65.0,1175,2,1
north grande,"durganagar, belgharia expressway",69.0,1231,3,1
rani kuthi,road,34.0,725,2,0
"old plaza, new booking",barrackpore,59.18,1409,3,0
siv shankar apartmemt,barrackpore,24.7,650,1,0
rishi ecoview,new town,95.0,1401,3,1
fm dream villa,tollygunge,66.0,2032,4,0
swapno apartment,new garia,42.0,875,2,0
garia station puja pahari apartment,"nabagram,  south",31.5,875,3,0
garia station puja pahari apartment,"nabagram,  south",18.65,518,1,0
ujjwala luxary apartments,new town action area 2d,100.0,1195,2,0
bengal peerless avidipta phase 2,mukundapur,114.99999999999999,950,2,1
on request,jadavpur,60.0,865,2,0
swastik bajaj kunj,lake town,192.0,2458,4,0
surojit apartment,"no 2 deshabondhu nagar, sodepur",35.5,1100,3,0
sachindra apartment,"no 2 deshabondhu nagar, sodepur",24.0,750,2,0
surojit apartment,"no 2 deshabondhu nagar, sodepur",35.5,1100,3,0
surojit apartment,"no 2 deshabondhu nagar, sodepur",27.3,850,2,0
aristrocat construction,"railway park, sodepur",30.1,900,2,0
eden astor park,"fartabad, garia",56.0,1040,2,0
jagannath apartment,"sodepur,  north",38.5,1059,3,0
raj palace,"dum dum cantt, south dumdum",39.5,950,2,0
bb gate,new town,114.99999999999999,1600,3,0
swastik bajaj kunj,lake town,164.0,1923,3,0
shankh mani,tollygunge,150.0,2058,3,1
agr bulk,new town,120.0,1700,3,0
eden serenity,"em bypass,  south",58.0,1260,3,0
deeshari megacity,southern bypass,38.5,1268,3,1
tata eden court,action area 2,200.0,1400,3,1
dlf new town heights,new town,145.0,1845,3,1
elita garden vista phase 2,new town,125.0,1503,3,1
the 102,"joka,  south",55.0,906,2,1
madan mohan apartment,behala chowrasta,40.0,910,3,0
bct sonar sansar,sonarpur,50.0,1222,3,0
akashlina apartment,"konnagar prantika, hooghly",39.3,1310,3,0
greenfield city,behala chowrasta,54.9,1148,3,0
1151 mousumi,eswar,44.0,1151,3,0
atri rays,narendrapur,36.0,784,2,0
atri aqua,narendrapur,36.0,856,2,0
on request,rekjuani,38.0,1080,3,0
rajwada blues,narendrapur,57.0,1060,2,0
on request,elachi p,34.5,852,2,0
on request,elachi p,36.0,882,2,0
starlite sunny seasons,garia,38.0,768,2,0
on request,rekjuani,33.0,885,2,0
dpk housing,nayabad,18.0,400,1,0
ghosh para,kestopur,44.0,1193,3,0
on request,kestopur,43.0,946,2,0
on request,thakurpukur,27.38,805,2,0
on request,baguiati,22.0,550,1,0
eden astor park,"fartabad, garia",77.0,1432,3,0
shibaloy apartment airport dum dum,"airport, dum dum",34.62,989,2,0
on request,"dum dum cantt, south dumdum",48.11,1218,3,0
residential apartment,south dumdum,38.4,800,2,0
on request,new town,105.0,1200,3,0
ideal abasan,rajarhat,50.0,1100,3,1
magnolia oxygen,rajarhat,80.0,1170,3,1
bengal ambuja ujjwala,rajarhat,270.0,2607,4,0
on request,new town,68.0,1053,2,0
"on request, new booking",new town,85.0,1450,3,0
semi complex,new town,52.72,859,2,0
on request,action area 1,125.0,1750,3,0
on request,new town,79.0,1126,3,0
sb enterprises,action area 3,75.0,1480,3,0
siddha galaxia,rajarhat,130.0,1285,3,1
a & s apartment (new booking),new barrakpur,22.8,814,2,0
arihant garden,rajarhat,42.0,900,2,0
"hindmotor, uttarpara, hooghly","dmotor, uttarpara",24.5,1400,3,0
morya,tollygunge,425.0,4050,5,1
sunrise plaza,"amarabati, sodepur",24.92,785,2,0
the ektaa lotus,tangra,145.0,1243,3,0
siddha happyville,rajarhat,70.0,712,2,1
south city,ce anwar shah rd,225.0,1472,3,1
siddha eden lakeville,bt road,86.0,889,3,1
on request,"madurdaha, em bypass",75.0,1250,3,0
ambient winds,kalikapur,99.0,1075,2,0
urban sabujayan,kalikapur,112.00000000000001,1874,4,0
on request new,new garia,47.5,1089,3,0
on request new,new garia,51.5,1183,3,0
on request,nayabad,52.0,1107,3,0
on request,new garia,38.0,905,2,0
on request new,nayabad,48.0,1111,3,0
670 rajkumari,bara nagar,24.9,670,2,0
852 deshbandhu,"tantipara, bara nagar",31.5,852,2,0
old plaza,barrackpore,34.86,830,2,0
"siva shankar apartment, new booking",barrackpore,31.92,840,2,0
