name,location,price,area,bhk
Ujjwala Luxary Apartments,"2 BHK Flat in New Town Action Area 2D, Kolkata",₹1 Cr,"1,195 sqft",2 BHK
"Bengal Peerless Avidipta Phase 2
4.1","2 BHK Flat in Mukundapur, Kolkata",₹1.15 Cr,950 sqft,2 BHK
on request,"2 BHK Flat in Jadavpur, Kolkata",₹60 Lac,865 sqft,2 BHK
Swastik Bajaj Kunj,"4 BHK Flat in Lake Town, Kolkata",₹1.92 Cr,"2,458 sqft",4 BHK
surojit apartment,"3 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹35.5 Lac,"1,100 sqft",3 BHK
sachindra apartment,"2 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹24 Lac,750 sqft,2 BHK
Surojit apartment,"3 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹35.5 Lac,"1,100 sqft",3 BHK
surojit apartment,"2 BHK Flat in No 2 Deshabondhu Nagar, Sodepur",₹27.3 Lac,850 sqft,2 BHK
aristrocat construction,"2 BHK Flat in Railway Park, Sodepur",₹30.1 Lac,900 sqft,2 BHK
Eden Astor Park,"2 BHK Flat in Fartabad, Garia",₹56 Lac,"1,040 sqft",2 BHK
Jagannath Apartment,"3 BHK Flat in Sodepur, Kolkata North",₹38.5 Lac,"1,059 sqft",3 BHK
Raj palace,"2 BHK Flat in Dum Dum Cantt, South Dumdum",₹39.5 Lac,950 sqft,2 BHK
BB gate,"3 BHK Flat in New Town, Kolkata",₹1.15 Cr,"1,600 sqft",3 BHK
Swastik Bajaj Kunj,"3 BHK Flat in Lake Town, Kolkata",₹1.64 Cr,"1,923 sqft",3 BHK
"Shankh Mani
3.4","3 BHK Flat in Tollygunge, Kolkata",₹1.5 Cr,"2,058 sqft",3 BHK
AGR Bulk,"3 BHK Flat in New Town, Kolkata",₹1.2 Cr,"1,700 sqft",3 BHK
Eden Serenity,"3 BHK Flat in EM Bypass, Kolkata South",₹58 Lac,"1,260 sqft",3 BHK
"Deeshari Megacity
3.5","3 BHK Flat in Southern Bypass, Kolkata",₹38.5 Lac,"1,268 sqft",3 BHK
"Tata Eden Court
3.9","3 BHK Flat in Action Area 2, Kolkata",₹2 Cr,"1,400 sqft",3 BHK
"DLF New Town Heights
3.8","3 BHK Flat in New Town, Kolkata",₹1.45 Cr,"1,845 sqft",3 BHK
"Elita Garden Vista Phase 2
3.8","3 BHK Flat in New Town, Kolkata",₹1.25 Cr,"1,503 sqft",3 BHK
"The 102
4.0","2 BHK Flat in Joka, Kolkata South",₹55 Lac,906 sqft,2 BHK
Madan Mohan Apartment,"3 BHK Flat in Behala Chowrasta, Kolkata",₹40 Lac,910 sqft,3 BHK
BCT Sonar Sansar,"3 BHK Flat in Sonarpur, Kolkata",₹50 Lac,"1,222 sqft",3 BHK
AKASHLINA APARTMENT,"3 BHK Flat in Konnagar Prantika, Hooghly",₹39.3 Lac,"1,310 sqft",3 BHK
Greenfield City,"3 BHK Flat in Behala Chowrasta, Kolkata",₹54.9 Lac,"1,148 sqft",3 BHK
1151 Mousumi,"3 BHK Flat in Dakshineswar, Kolkata",₹44 Lac,"1,151 sqft",3 BHK
Atri Rays,"2 BHK Flat in Narendrapur, Kolkata",₹36 Lac,784 sqft,2 BHK
Atri Aqua,"2 BHK Flat in Narendrapur, Kolkata",₹36 Lac,856 sqft,2 BHK
on Request,"3 BHK Flat in Rekjuani, Kolkata",₹38 Lac,"1,080 sqft",3 BHK
Rajwada Blues,"2 BHK Flat in Narendrapur, Kolkata",₹57 Lac,"1,060 sqft",2 BHK
On Request,"2 BHK Flat in Elachi P, Kolkata",₹34.5 Lac,852 sqft,2 BHK
On Request,"2 BHK Flat in Elachi P, Kolkata",₹36 Lac,882 sqft,2 BHK
Starlite Sunny Seasons,"2 BHK Flat in Garia, Kolkata",₹38 Lac,768 sqft,2 BHK
on Request,"2 BHK Flat in Rekjuani, Kolkata",₹33 Lac,885 sqft,2 BHK
DPK Housing,"1 BHK Flat in Nayabad, Kolkata",₹18 Lac,400 sqft,1 BHK
Ghosh Para,"3 BHK Flat in Kestopur, Kolkata",₹44 Lac,"1,193 sqft",3 BHK
On Request,"2 BHK Flat in Kestopur, Kolkata",₹43 Lac,946 sqft,2 BHK
On Request,"2 BHK Independent Builder Floor in Thakurpukur, Kolkata",₹27.38 Lac,805 sqft,2 BHK
on Request,"1 BHK Flat in Baguiati, Kolkata",₹22 Lac,550 sqft,1 BHK
Eden Astor Park,"3 BHK Flat in Fartabad, Garia",₹77 Lac,"1,432 sqft",3 BHK
shibaloy Apartment Airport Dum Dum,"2 BHK Flat in Airport, Dum Dum",₹34.62 Lac,989 sqft,2 BHK
On request,"3 BHK Flat in Dum Dum Cantt, South Dumdum",₹48.11 Lac,"1,218 sqft",3 BHK
Residential Apartment,"2 BHK Flat in South Dumdum, Kolkata",₹38.4 Lac,800 sqft,2 BHK
On request,"3 BHK Flat in New Town, Kolkata",₹1.05 Cr,"1,200 sqft",3 BHK
"Ideal Abasan
3.6","3 BHK Flat in Rajarhat, Kolkata",₹50 Lac,"1,100 sqft",3 BHK
"Magnolia Oxygen
4.1","3 BHK Flat in Rajarhat, Kolkata",₹80 Lac,"1,170 sqft",3 BHK
Bengal Ambuja Ujjwala,"4 BHK Flat in Rajarhat, Kolkata",₹2.7 Cr,"2,607 sqft",4 BHK
On Request,"2 BHK Flat in New Town, Kolkata",₹68 Lac,"1,053 sqft",2 BHK
"On Request, New Booking","3 BHK Flat in New Town, Kolkata",₹85 Lac,"1,450 sqft",3 BHK
Semi Complex,"2 BHK Flat in New Town, Kolkata",₹52.72 Lac,859 sqft,2 BHK
On Request,"3 BHK Flat in Action Area 1, Kolkata",₹1.25 Cr,"1,750 sqft",3 BHK
On Request,"3 BHK Flat in New Town, Kolkata",₹79 Lac,"1,126 sqft",3 BHK
SB Enterprises,"3 BHK Flat in Action Area 3, Kolkata",₹75 Lac,"1,480 sqft",3 BHK
"Siddha Galaxia
4.0","3 BHK Flat in Rajarhat, Kolkata",₹1.3 Cr,"1,285 sqft",3 BHK
A & S APARTMENT (New Booking),"2 BHK Flat in New Barrakpur, Kolkata",₹22.8 Lac,814 sqft,2 BHK
Arihant Garden,"2 BHK Flat in Rajarhat, Kolkata",₹42 Lac,900 sqft,2 BHK
"Hindmotor, Uttarpara, Hooghly","3 BHK Independent Builder Floor in Hindmotor, Uttarpara",₹24.5 Lac,"1,400 sqft",3 BHK
"Morya
3.6","5 BHK Flat in Tollygunge, Kolkata",₹4.25 Cr,"4,050 sqft",5 BHK
Sunrise Plaza,"2 BHK Flat in Amarabati, Sodepur",₹24.92 Lac,785 sqft,2 BHK
The Ektaa Lotus,"3 BHK Flat in Tangra, Kolkata",₹1.45 Cr,"1,243 sqft",3 BHK
"Siddha Happyville
4.2","2 BHK Flat in Rajarhat, Kolkata",₹70 Lac,712 sqft,2 BHK
"South City
4.0","3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹2.25 Cr,"1,472 sqft",3 BHK
"Siddha Eden LakeVille
3.9","3 BHK Flat in BT Road, Kolkata",₹86 Lac,889 sqft,3 BHK
On Request,"3 BHK Flat in Madurdaha, EM Bypass",₹75 Lac,"1,250 sqft",3 BHK
Ambient Winds,"2 BHK Flat in Kalikapur, Kolkata",₹99 Lac,"1,075 sqft",2 BHK
Urban Sabujayan,"4 BHK Flat in Kalikapur, Kolkata",₹1.12 Cr,"1,874 sqft",4 BHK
On Request New,"3 BHK Independent Builder Floor in New Garia, Kolkata",₹47.5 Lac,"1,089 sqft",3 BHK
On Request New,"3 BHK Independent Builder Floor in New Garia, Kolkata",₹51.5 Lac,"1,183 sqft",3 BHK
On Request,"3 BHK Independent Builder Floor in Nayabad, Kolkata",₹52 Lac,"1,107 sqft",3 BHK
on Request,"2 BHK Independent Builder Floor in New Garia, Kolkata",₹38 Lac,905 sqft,2 BHK
On Request New,"3 BHK Independent Builder Floor in Nayabad, Kolkata",₹48 Lac,"1,111 sqft",3 BHK
670 Rajkumari,"2 BHK Flat in Bara Nagar, Kolkata",₹24.9 Lac,670 sqft,2 BHK
852 Deshbandhu,"2 BHK Flat in Tantipara, Bara Nagar",₹31.5 Lac,852 sqft,2 BHK
Old Plaza,"2 BHK Flat in Barrackpore, Kolkata",₹34.86 Lac,830 sqft,2 BHK
"Siva Shankar Apartment, New Booking","2 BHK Flat in Barrackpore, Kolkata",₹31.92 Lac,840 sqft,2 BHK
Vivekananda Plaza NEW BOOKING Agarpara B T Road,"3 BHK Flat in Agarpara, Panihati",₹46.4 Lac,"1,450 sqft",3 BHK
"Unitech Universal Downtown
3.7","2 BHK Flat in New Town, Kolkata",₹1.15 Cr,"1,555 sqft",2 BHK
"Tata Avenida
4.0","3 BHK Flat in New Town, Kolkata",₹2.13 Cr,"1,181 sqft",3 BHK
Sita Niketan,"4 BHK Flat in Chappel Road, Hastings, Kolkata",₹2.3 Cr,"2,200 sqft",4 BHK
"Unitech Gardens
4.0","2 BHK Flat in New Town, Kolkata",₹1 Cr,"1,464 sqft",2 BHK
"Elita Garden Vista Phase 2
3.8","3 BHK Flat in New Town, Kolkata",₹1.45 Cr,"1,648 sqft",3 BHK
"Elita Garden Vista
4.3","3 BHK Flat in New Town, Kolkata",₹1.22 Cr,"1,648 sqft",3 BHK
Swastik Bajaj Kunj,"4 BHK Flat in Lake Town, Kolkata",₹1.92 Cr,"2,548 sqft",4 BHK
"Oswal Orchard County
4.1","4 BHK Flat in Belgharia, BT Road",₹1.05 Cr,"1,810 sqft",4 BHK
Brick city,"3 BHK Flat in New Garia, Kolkata",₹65 Lac,"1,305 sqft",3 BHK
brick city,"5 Bedroom House in New Garia Housing Development Society, Panchpota, Kolkata",₹2.2 Cr,"2,900 sqft",5 BHK
Brick City,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.58 Cr,"1,450 sqft",3 BHK
Brick City,"3 BHK Flat in New Garia, Kolkata",₹66 Lac,"1,366 sqft",3 BHK
Brick city,"3 BHK Flat in Ballygunge Circular Road, Kolkata",₹2.9 Cr,"1,648 sqft",3 BHK
on request,"3 BHK Flat in New Town, Kolkata",₹1.06 Cr,"1,756 sqft",3 BHK
Indivisual apartment,"4 BHK Flat in New Town, Kolkata",₹1.48 Cr,"2,220 sqft",4 BHK
Srijan Botanica,"4 Bedroom House in EM Bypass, Kolkata South",₹1.97 Cr,"2,363 sqft",4 BHK
"Diamond City North
3.7","3 BHK Flat in Shyamnagar, North 24 Parganas",₹1.4 Cr,"1,568 sqft",3 BHK
"Bengal DCL Malancha
3.6","3 BHK Flat in Action Area 2B, New Town",₹1.1 Cr,"1,495 sqft",3 BHK
"Tata Eden Court
3.9","3 BHK Flat in Action Area 2, Kolkata",₹1.86 Cr,"2,180 sqft",3 BHK
co operative,"3 BHK Flat in New Town, Kolkata",₹81 Lac,"1,250 sqft",3 BHK
Indivisual,"3 BHK Flat in New Town, Kolkata",₹71 Lac,"1,100 sqft",3 BHK
on request,"3 BHK Flat in New Town, Kolkata",₹90 Lac,"1,260 sqft",3 BHK
Swastik Bajaj Kunj,"1 BHK Flat in Lake Town, Kolkata",₹62.5 Lac,833 sqft,1 BHK
On Request,"5 BHK Flat in New Alipore, Kolkata",₹4.1 Cr,"3,450 sqft",5 BHK
"Hiland Park
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.2 Cr,"1,328 sqft",3 BHK
Unitech Uniworld City,"3 BHK Flat in Action Area 3, Kolkata",₹1.45 Cr,"1,925 sqft",3 BHK
CH Damodar,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.34 Cr,"1,241 sqft",3 BHK
"The Soul
3.8","4 BHK Flat in Rajarhat, Kolkata",₹1.45 Cr,"1,522 sqft",4 BHK
"Uniworld City
3.8","2 BHK Flat in New Town, Kolkata",₹1.24 Cr,"1,475 sqft",2 BHK
Deeshari Estate,"3 BHK Flat in Madurdaha, EM Bypass",₹1.05 Cr,"1,455 sqft",3 BHK
Merlin Manor,"3 BHK Flat in Tollygunge, Kolkata",₹1.59 Cr,"1,901 sqft",3 BHK
"Shivam Prisma, Uttarpara","3 BHK Flat in Makhla, Uttarpara",₹24.24 Lac,"1,010 sqft",3 BHK
Ambuja Udita,"4 BHK Flat in Survey Park, Santoshpur",₹2.6 Cr,"2,530 sqft",4 BHK
Prabha Aashiyana,"3 BHK Flat in Rajarhat, Kolkata",₹55 Lac,"1,110 sqft",3 BHK
Eden Sapphire,"2 BHK Flat in Nayabad, Kolkata",₹42 Lac,845 sqft,2 BHK
850 Jugipara,"2 BHK Independent Builder Floor in Tantipara, Bara Nagar",₹28 Lac,851 sqft,2 BHK
Royal Apartment,"3 BHK Flat in Madurdaha, EM Bypass",₹85 Lac,"1,500 sqft",3 BHK
PS Navyom,"4 BHK Flat in New Alipore, Kolkata",₹3.65 Cr,"2,856 sqft",4 BHK
Merlin Elements,"3 BHK Flat in New Alipore, Kolkata",₹2.1 Cr,"1,749 sqft",3 BHK
PARNASREE APARTMENT,"2 BHK Flat in Parnasree Palli, Behala",₹49 Lac,980 sqft,2 BHK
"Silveroak Estate
3.7","3 BHK Flat in Rajarhat, Kolkata",₹1.15 Cr,"1,512 sqft",3 BHK
AGR,"3 BHK Flat in Action Area 1, Kolkata",₹1.2 Cr,"1,710 sqft",3 BHK
on Request,"1 BHK Flat in Baguiati, Kolkata",₹19 Lac,474 sqft,1 BHK
on Request,"2 BHK Flat in Baguiati, Kolkata",₹40 Lac,978 sqft,2 BHK
on Request,"2 BHK Flat in Baguihati, VIP Road",₹39.08 Lac,975 sqft,2 BHK
"residential Apartment,airport","3 BHK Flat in Airport 2 No. Gate, North Dumdum",₹56 Lac,"1,441 sqft",3 BHK
Dwarika heights Dum Dum Cantt,"3 BHK Flat in Dum Dum Cantt, South Dumdum",₹47 Lac,"1,190 sqft",3 BHK
Sova villa,"1 BHK Flat in Madhyamgram, Kolkata",₹20.26 Lac,579 sqft,1 BHK
Residential Apartment,"2 BHK Flat in South Dumdum, Kolkata",₹47.7 Lac,900 sqft,2 BHK
Eden Oxford Park,"2 BHK Flat in Nayabad, Kolkata",₹62 Lac,925 sqft,2 BHK
"Swan Court
3.1","3 BHK Flat in New Town, Kolkata",₹1.45 Cr,"1,670 sqft",3 BHK
Royal Gardens,"2 BHK Flat in Southern Bypass, Kolkata",₹53.87 Lac,"1,036 sqft",2 BHK
Royal Garden,"3 BHK Flat in Rajpur Sonarpur, Kolkata South",₹74.05 Lac,"1,424 sqft",3 BHK
Royal Gardens,"3 BHK Flat in Ramchandrapur, Narendrapur",₹71.71 Lac,"1,379 sqft",3 BHK
Residential Complex,"3 BHK Flat in Fartabad, Garia",₹85.05 Lac,"1,215 sqft",3 BHK
On Request,"2 BHK Flat in Fartabad, Garia",₹35.55 Lac,867 sqft,2 BHK
On Request,"2 BHK Flat in Saha Para, Fartabad, Garia",₹34.85 Lac,850 sqft,2 BHK
Tirupati Paradise,"3 BHK Flat in Narendrapur, Kolkata",₹48 Lac,"1,189 sqft",3 BHK
Tirupati Paradise,"2 BHK Flat in Narendrapur, Kolkata",₹38 Lac,966 sqft,2 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.91 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹73.09 Lac,"1,379 sqft",3 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.48 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.91 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.49 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.47 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹73.09 Lac,"1,379 sqft",3 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.47 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.91 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.9 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹73.08 Lac,"1,379 sqft",3 BHK
on Request,"2 BHK Flat in Rekjuani, Kolkata",₹19.5 Lac,650 sqft,2 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.91 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.47 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹54.91 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹71.2 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹75.47 Lac,"1,424 sqft",3 BHK
"Rajwada Royal Gardens
3.7","2 BHK Flat in Narendrapur, Kolkata",₹51.8 Lac,"1,036 sqft",2 BHK
"Rajwada Royal Gardens
3.7","3 BHK Flat in Narendrapur, Kolkata",₹68.88 Lac,"1,379 sqft",3 BHK
Devalok Apartment,"2 BHK Flat in New Garia, Kolkata",₹45.08 Lac,920 sqft,2 BHK
sarovaar,"2 BHK Flat in Action Area 3, Kolkata",₹47.68 Lac,901 sqft,2 BHK
sarovaar,"2 BHK Flat in Action Area 3, Kolkata",₹51.23 Lac,971 sqft,2 BHK
Merlin Verve,"3 BHK Flat in Tollygunge, Kolkata",₹1.28 Cr,"1,400 sqft",3 BHK
Unitech Vistas,"3 BHK Flat in Uniworld City, New Town",₹95 Lac,"1,226 sqft",3 BHK
Orchird Residency,"3 BHK Flat in New Garia, Kolkata",₹66 Lac,"1,239 sqft",3 BHK
on Request,"2 BHK Flat in Dum Dum Park, Kolkata",₹32 Lac,880 sqft,2 BHK
Urban Sabujayan,"3 BHK Flat in Kalikapur, Kolkata",₹77 Lac,"1,295 sqft",3 BHK
On Request,"3 BHK Flat in Mahamayatala, Garia",₹76 Lac,"1,680 sqft",3 BHK
ON Request,"3 BHK Flat in Behala Chowrasta, Kolkata",₹40 Lac,965 sqft,3 BHK
Tirath Apartment,"3 BHK Flat in Chinar Park, Kolkata",₹75 Lac,"1,300 sqft",3 BHK
"Proyanti Apartment, New Booking","3 BHK Flat in Barrackpore, Kolkata",₹48.38 Lac,"1,152 sqft",3 BHK
"Tal Plaza, New Booking","2 BHK Flat in Barrackpore, Kolkata",₹29.24 Lac,860 sqft,2 BHK
"Sonajhuri Apartment, New Booking","2 BHK Flat in Barrackpore, Kolkata",₹25.23 Lac,871 sqft,2 BHK
"D Plaza, New Booking","2 BHK Flat in Barrackpore, Kolkata",₹38 Lac,"1,000 sqft",2 BHK
"C Plaza, New Booking","3 BHK Flat in Barrackpore, Kolkata",₹42.14 Lac,"1,109 sqft",3 BHK
"Old Plaza, New Booking","3 BHK Flat in Barrackpore, Kolkata",₹58.38 Lac,"1,390 sqft",3 BHK
"Rabindra Plaza B T Road Tetultala, NEW BOOKING","3 BHK Flat in Agarpara, Panihati",₹32.2 Lac,"1,150 sqft",3 BHK
"Kartick Plaza NEW BOOKING, Agarpara","2 BHK Flat in Agarpara, Panihati",₹25.75 Lac,810 sqft,2 BHK
Atri Aqua,"1 BHK Flat in Narendrapur, Kolkata",₹28 Lac,694 sqft,1 BHK
"On Request, New Booking","3 BHK Flat in New Town, Kolkata",₹72.21 Lac,"1,111 sqft",3 BHK
"On Request, New Booking","3 BHK Flat in New Town, Kolkata",₹72.08 Lac,"1,109 sqft",3 BHK
Eden Sky Terraces,"2 BHK Flat in Nayabad, Kolkata",₹75 Lac,"1,027 sqft",2 BHK
aristocrate apartment,"2 BHK Flat in Sodepur, Kolkata North",₹28.5 Lac,850 sqft,2 BHK
Brick city,"3 BHK Flat in Triangular Park, Ballygunge",₹1.87 Cr,"1,350 sqft",3 BHK
"Southwinds
4.1","3 BHK Flat in Garia, Kolkata",₹90 Lac,"1,321 sqft",3 BHK
Hitech Residency,"2 BHK Flat in Rajarhat, Kolkata",₹28.42 Lac,824 sqft,2 BHK
residentail apartment,"2 BHK Flat in Airport 2 No. Gate, North Dumdum",₹43 Lac,"1,076 sqft",2 BHK
"North Grande
4.0","2 BHK Flat in Durganagar, Belgharia Expressway, Kolkata",₹57 Lac,"1,022 sqft",2 BHK
Individual,"3 BHK Flat in Action Area 1, Kolkata",₹1.2 Cr,"1,750 sqft",3 BHK
On Request New,"2 BHK Flat in Fartabad, Garia",₹38.55 Lac,918 sqft,2 BHK
On Request,"2 BHK Flat in Fartabad, Garia",₹40.32 Lac,970 sqft,2 BHK
On Request,"2 BHK Flat in Saha Para, Fartabad, Garia",₹41.16 Lac,980 sqft,2 BHK
Prudent Prana,"3 BHK Flat in Garia, Kolkata",₹65 Lac,982 sqft,3 BHK
On request,"3 BHK Flat in Mukundapur, Kolkata",₹62 Lac,"1,255 sqft",3 BHK
On Request,"3 BHK Flat in Mukundapur, Kolkata",₹90 Lac,"1,500 sqft",3 BHK
CH Retreat,"2 BHK Flat in Kasba, Kolkata",₹72 Lac,"1,105 sqft",2 BHK
"Merlin The One
3.9","3 BHK Flat in Tollygunge, Kolkata",₹1.5 Cr,"1,470 sqft",3 BHK
"North Grande
4.0","3 BHK Flat in Durganagar, Belgharia Expressway, Kolkata",₹76 Lac,"1,404 sqft",3 BHK
"Ideal Abasan
3.6","2 BHK Flat in Rajarhat, Kolkata",₹38 Lac,860 sqft,2 BHK
Silver Oak Estate,"3 BHK Flat in Kalipark, Rajarhat",₹1.3 Cr,"1,660 sqft",3 BHK
"Bengal DCL Malancha
3.6","3 BHK Flat in New Town, Kolkata",₹1.15 Cr,"1,750 sqft",3 BHK
Merlin Emerald,"2 BHK Flat in Behala, Kolkata",₹38 Lac,735 sqft,2 BHK
Individual,"3 BHK Flat in Action Area 2, Kolkata",₹80 Lac,"1,240 sqft",3 BHK
Bengal Ambuja Upohar,"3 BHK Flat in New Garia, Kolkata",₹1.9 Cr,"2,404 sqft",3 BHK
Greenfield City,"3 BHK Flat in Behala Chowrasta, Kolkata",₹40.5 Lac,893 sqft,3 BHK
Jeet Group,"3 BHK Flat in Purbalok, EM Bypass",₹84.5 Lac,"1,300 sqft",3 BHK
Heavens Gateway,"2 BHK Flat in Narendrapur, Kolkata",₹33.74 Lac,978 sqft,2 BHK
Heavens Gateway,"2 BHK Flat in Narendrapur, Kolkata",₹34.22 Lac,992 sqft,2 BHK
Heavens Gateway,"3 BHK Flat in Narendrapur, Kolkata",₹45.5 Lac,"1,339 sqft",3 BHK
Heavens Gateway,"2 BHK Flat in Narendrapur, Kolkata",₹29.58 Lac,870 sqft,2 BHK
Heavens Gateway,"3 BHK Flat in Narendrapur, Kolkata",₹42.16 Lac,"1,240 sqft",3 BHK
Heavens Gateway,"2 BHK Flat in Narendrapur, Kolkata",₹33.72 Lac,992 sqft,2 BHK
"Silver Spring
4.0","3 BHK Flat in EM Bypass, Kolkata East",₹2.15 Cr,"2,100 sqft",3 BHK
"Siddha Happyville
4.2","2 BHK Flat in Rajarhat, Kolkata",₹75 Lac,"1,080 sqft",2 BHK
"Magnolia Oxygen
4.1","2 BHK Flat in Rajarhat, Kolkata",₹55 Lac,992 sqft,2 BHK
Tolly Exotica,"3 BHK Flat in Ranikuthi, Regent Park, Kolkata",₹1.8 Cr,"1,645 sqft",3 BHK
"PS ONE 10
4.2","4 BHK Flat in New Town, Kolkata",₹2.85 Cr,"1,501 sqft",4 BHK
Trinoyanee apartment,"2 BHK Flat in Madhyamgram, Kolkata",₹28.35 Lac,886 sqft,2 BHK
Trinoyani apartments,"2 BHK Flat in Madhyamgram, Kolkata",₹28.79 Lac,886 sqft,2 BHK
Srijan Green Field City,"3 BHK Flat in Maheshtala, Kolkata",₹62 Lac,"1,156 sqft",3 BHK
sonar tori view,"2 BHK Flat in New Barrakpur, Kolkata",₹19.8 Lac,720 sqft,2 BHK
Trinayani apartment,"2 BHK Flat in Madhyamgram, Kolkata",₹28.8 Lac,886 sqft,2 BHK
Dreamhome Bhagirathi,"3 BHK Flat in Pathanpur, Birati, Kolkata",₹38.34 Lac,"1,065 sqft",3 BHK
G k mansion,"2 BHK Flat in Birati, Kolkata",₹32.48 Lac,928 sqft,2 BHK
G k mansion,"2 BHK Flat in New Barrakpur, Kolkata",₹25.76 Lac,736 sqft,2 BHK
subhasree apartment,"2 BHK Flat in New Barrakpur, Kolkata",₹20.05 Lac,777 sqft,2 BHK
"Hiland Park
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.35 Cr,"1,328 sqft",3 BHK
On request,"3 BHK Flat in Action Area 2, Kolkata",₹86.5 Lac,"1,451 sqft",3 BHK
On request,"3 BHK Flat in Action Area 2, Kolkata",₹86.5 Lac,"1,479 sqft",3 BHK
GM Meena Florence,"2 BHK Flat in Dash Drone, Rajarhat",₹45 Lac,"1,106 sqft",2 BHK
GM Meena Florence,"2 BHK Flat in Dash Drone, Rajarhat",₹50 Lac,"1,050 sqft",2 BHK
On Request,"3 BHK Flat in Action Area 3, Kolkata",₹75 Lac,"1,481 sqft",3 BHK
"Mani Vista
3.9","3 BHK Flat in Tollygunge, Kolkata",₹2.5 Cr,"1,795 sqft",3 BHK
on request,"2 BHK Flat in Purbalok, EM Bypass",₹49 Lac,920 sqft,2 BHK
Bitasta apartment,"2 BHK Flat in chinar, Kolkata East",₹47.66 Lac,"1,014 sqft",2 BHK
on request,"2 BHK Flat in Action Area 2, Kolkata",₹71 Lac,"1,080 sqft",2 BHK
On request,"3 BHK Flat in Action Area 1, Kolkata",₹88 Lac,"1,290 sqft",3 BHK
On Request,"3 BHK Flat in New Town, Kolkata",₹1.2 Cr,"1,750 sqft",3 BHK
Tara Maa Enterprise,"3 BHK Flat in Action Area 1, Kolkata",₹1.2 Cr,"1,750 sqft",3 BHK
On Request,"3 BHK Flat in New Town Jatargachi, Kolkata East",₹76 Lac,"1,303 sqft",3 BHK
On request,"2 BHK Flat in New Town Jatargachi, Kolkata East",₹58.5 Lac,960 sqft,2 BHK
Eco star,"2 BHK Flat in New Town, Kolkata",₹58 Lac,960 sqft,2 BHK
Tara Ma Enterprises,"3 BHK Flat in Action Area 1, Kolkata",₹98 Lac,"1,480 sqft",3 BHK
On Request,"3 BHK Flat in New Town, Kolkata",₹98 Lac,"1,480 sqft",3 BHK
Chinar Heights,"3 BHK Flat in Chinar Park, Kolkata",₹65 Lac,"1,155 sqft",3 BHK
On Request,"3 BHK Flat in Dashadrone, Rajarhat",₹54 Lac,"1,080 sqft",3 BHK
On request,"3 BHK Flat in Action Area 1, Kolkata",₹1.2 Cr,"1,750 sqft",3 BHK
on request,"3 BHK Flat in Mukundapur, Kolkata",₹80 Lac,"1,250 sqft",3 BHK
on request,"3 BHK Flat in Nayabad, Kolkata",₹47 Lac,"1,108 sqft",3 BHK
On Request,"3 BHK Flat in Nayabad, Kolkata",₹55.5 Lac,"1,111 sqft",3 BHK
"Loharuka Green Vista
4.2","3 BHK Flat in Rajarhat, Kolkata",₹80 Lac,"1,220 sqft",3 BHK
Aster Green,"4 BHK Flat in Rajarhat, Kolkata",₹1.1 Cr,"1,778 sqft",4 BHK
On request,"3 BHK Flat in Action Area 3, Kolkata",₹65 Lac,"1,200 sqft",3 BHK
