name,location,price,area,bhk
on request,"2 BHK Flat in DD Block Newtown, Action Area 1",₹60 Lac,840 sqft,2 BHK
Alita Apartment,"2 BHK Flat in Nayabad, Kolkata",₹37.4 Lac,831 sqft,2 BHK
"Surya Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹20.25 Lac,900 sqft,2 BHK
On Request,"3 BHK Flat in Chit Kalikapur, Mukundapur",₹60 Lac,"1,116 sqft",3 BHK
Eden Astor Park,"2 BHK Flat in Fartabad, Garia",₹57 Lac,"1,040 sqft",2 BHK
Jai Hanuman Apartment - New Booking,"2 BHK Flat in Konnagar, Hooghly",₹22.87 Lac,817 sqft,2 BHK
Sree Ganesh Apartment,"3 BHK Flat in Konnagar, Hooghly",₹23 Lac,920 sqft,3 BHK
Brajananda Apartment,"3 BHK Flat in Konnagar, Hooghly",₹24.7 Lac,950 sqft,3 BHK
SGIL Gardenia,"2 BHK Flat in Narendrapur, Kolkata",₹40.5 Lac,821 sqft,2 BHK
Standalone Building,"4 BHK Independent Builder Floor in New Town, Kolkata",₹1.55 Cr,"2,200 sqft",4 BHK
Standalone Building,"3 BHK Independent Builder Floor in New Town, Kolkata",₹85 Lac,"1,500 sqft",3 BHK
Standalone Building,"2 BHK Independent Builder Floor in New Town, Kolkata",₹78 Lac,"1,150 sqft",2 BHK
Standalone Building BA,"3 BHK Flat in New Town, Kolkata",₹80 Lac,"1,250 sqft",3 BHK
Standalone Building,"2 BHK Flat in New Town, Kolkata",₹60 Lac,"1,050 sqft",2 BHK
Standalone Building CA,"2 BHK Flat in New Town, Kolkata",₹65 Lac,"1,050 sqft",2 BHK
AL Standalone building,"3 BHK Flat in New Town, Kolkata",₹1.05 Cr,"1,480 sqft",3 BHK
Standalone Building,"3 BHK Flat in New Town, Kolkata",₹70 Lac,"1,250 sqft",3 BHK
Binayak 862,"2 BHK Flat in Kasba, Kolkata",₹56.89 Lac,862 sqft,2 BHK
aristrocat construction,"3 BHK Flat in Railway Park, Sodepur",₹37.5 Lac,"1,100 sqft",3 BHK
residential apartment,"2 BHK Flat in Park Street, Kolkata",₹2 Cr,"1,560 sqft",2 BHK
Standalone Building,"2 BHK Flat in New Town, Kolkata",₹73 Lac,"1,111 sqft",2 BHK
Utsa Luxary,"2 BHK Flat in New Town Action area 1A, Kolkata",₹1 Cr,"1,242 sqft",2 BHK
Siddhaye Apartment III,"2 BHK Flat in Hindmotor, Uttarpara",₹18.6 Lac,744 sqft,2 BHK
Pacific Vijoya,"2 BHK Flat in Garia, Kolkata",₹34.5 Lac,851 sqft,2 BHK
Jupiter Airport Residency,"3 BHK Flat in Birati, Kolkata",₹1 Cr,"1,398 sqft",3 BHK
Shivom Utopia,"3 BHK Flat in EM Bypass, Kolkata South",₹1.75 Cr,"1,531 sqft",3 BHK
Standalone Building,"3 BHK Flat in New Town, Kolkata",₹84 Lac,"1,240 sqft",3 BHK
On Request,"3 BHK Flat in Sonarpur, Kolkata",₹32 Lac,"1,400 sqft",3 BHK
"Om Residency, Hind Motor","2 BHK Flat in Hindmotor, Uttarpara",₹21 Lac,840 sqft,2 BHK
Ujjwala Luxary Apartments,"3 BHK Flat in New Town Action Area 2D, Kolkata",₹2.7 Cr,"2,612 sqft",3 BHK
"Prafulla Plaza New Booking, Agarpara","1 BHK Flat in Agarpara, Panihati",₹13.2 Lac,518 sqft,1 BHK
Eden Tolly Signature,"3 BHK Flat in Tollygunge, Kolkata",₹53 Lac,"1,075 sqft",3 BHK
Siddhaye Apartment II - New Booking.,"3 BHK Flat in Bhadrakali, Uttarpara",₹38.87 Lac,"1,178 sqft",3 BHK
Antrik Apartment,"3 BHK Flat in Sodepur, Kolkata North",₹32 Lac,"1,010 sqft",3 BHK
On Request,"3 BHK Flat in Purbalok, EM Bypass",₹84.5 Lac,"1,300 sqft",3 BHK
"Uniworld City
3.8","3 BHK Flat in New Town, Kolkata",₹1.55 Cr,"2,200 sqft",3 BHK
Mithu appartments,"2 BHK Flat in Mahamayatala, Garia",₹44.65 Lac,950 sqft,2 BHK
"Uniworld City
3.8","4 BHK Flat in New Town, Kolkata",₹3.1 Cr,"5,000 sqft",4 BHK
Shantineer V,"2 BHK Flat in Nayabad, Kolkata",₹28 Lac,664 sqft,2 BHK
Mithu appartment,"2 BHK Flat in Mahamayatala, Garia",₹42.3 Lac,900 sqft,2 BHK
"Uniworld City
3.8","5 BHK Flat in New Town, Kolkata",₹2.5 Cr,"4,000 sqft",5 BHK
"Uniworld City
3.8","4 BHK Flat in New Town, Kolkata",₹3.1 Cr,"5,001 sqft",4 BHK
"Uniworld City
3.8","5 BHK Flat in New Town, Kolkata",₹2.5 Cr,"4,100 sqft",5 BHK
Residential Apartment,"3 BHK Flat in Anandapur, EM Bypass",₹1 Cr,"1,593 sqft",3 BHK
Aryan Alivia Apartment,"3 BHK Flat in Mukundapur, Kolkata",₹75 Lac,"1,400 sqft",3 BHK
"Surya Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹18 Lac,800 sqft,2 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹61 Lac,"1,256 sqft",3 BHK
"Uniworld City
3.8","3 BHK Flat in New Town, Kolkata",₹1.75 Cr,"2,200 sqft",3 BHK
"Udayan Apartment, Konnagar","2 BHK Flat in Konnagar, Hooghly",₹18.63 Lac,745 sqft,2 BHK
On Request,"2 BHK Flat in Jayashree Park, Behala",₹36.4 Lac,910 sqft,2 BHK
Residential Apartment,"3 BHK Flat in Ballygunge Circular Road, Kolkata",₹3.7 Cr,"2,230 sqft",3 BHK
Amodini Apartment,"2 BHK Flat in Behala Chowrasta, Kolkata",₹30 Lac,700 sqft,2 BHK
"Merlin The One
3.9","3 BHK Flat in Tollygunge, Kolkata",₹1.38 Cr,"1,200 sqft",3 BHK
On Request New Booking,"2 BHK Independent Builder Floor in Bakultala, Kolkata South",₹27 Lac,780 sqft,2 BHK
"Uniworld City
3.8","3 BHK Flat in New Town, Kolkata",₹90 Lac,"1,226 sqft",3 BHK
"Emami City
4.2","2 BHK Flat in Jessore Road, Kolkata",₹97 Lac,"1,150 sqft",2 BHK
"Sureka Sunrise Symphony
3.9","3 BHK Flat in Action Area 2, Kolkata",₹1.05 Cr,"1,480 sqft",3 BHK
OAS Lake Life Township,"2 Bedroom House in Joka, Kolkata South",₹39 Lac,"1,100 sqft",2 BHK
On Request,"2 BHK Independent Builder Floor in Fartabad, Garia",₹31 Lac,725 sqft,2 BHK
"Unimark Lakewood Estate
3.8","3 BHK Flat in EM Bypass, Kolkata South",₹1.35 Cr,"1,411 sqft",3 BHK
Jai Ganesh Apartment II,"2 BHK Flat in Hindmotor, Uttarpara",₹20 Lac,773 sqft,2 BHK
Mehuli Apartment,"3 BHK Flat in New Garia, Kolkata",₹49 Lac,"1,183 sqft",3 BHK
progressive,"2 BHK Independent Builder Floor in Saha Para, Fartabad, Garia",₹42 Lac,844 sqft,2 BHK
"Shrachi Greenwood Elements
3.9","3 BHK Flat in New Town Action Area 2D, Kolkata",₹1.2 Cr,"1,830 sqft",3 BHK
"Tata Eden Court
3.9","3 BHK Flat in Action Area 2, Kolkata",₹1.86 Cr,"2,180 sqft",3 BHK
Purti Aqua,"2 BHK Flat in Rajarhat, Kolkata",₹62 Lac,877 sqft,2 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹39.75 Lac,"1,100 sqft",3 BHK
Merlin Residency,"3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹1.8 Cr,"1,950 sqft",3 BHK
Eternis,"2 BHK Flat in Jessore Road, Kolkata",₹58 Lac,823 sqft,2 BHK
"Om Residency, Hind Motor","2 BHK Flat in Hindmotor, Uttarpara",₹18.75 Lac,750 sqft,2 BHK
PS Navyom,"4 BHK Flat in New Alipore, Kolkata",₹3.7 Cr,"2,402 sqft",4 BHK
DTC Southern Heights,"2 BHK Flat in Joka, Kolkata South",₹55 Lac,970 sqft,2 BHK
Vasundhara 1,"3 BHK Flat in Garia, Kolkata",₹67 Lac,"1,190 sqft",3 BHK
Purti Hastings,"3 BHK Flat in Alipore, Kolkata",₹2.47 Cr,"2,151 sqft",3 BHK
"Elita Garden Vista
4.3","3 BHK Flat in New Town, Kolkata",₹1.35 Cr,"1,955 sqft",3 BHK
on request,"3 BHK Flat in Action Area 3, Kolkata",₹62 Lac,"1,200 sqft",3 BHK
Jupiter Airport Residency,"3 BHK Flat in Birati, Kolkata",₹1 Cr,"1,398 sqft",3 BHK
Merlin Verve,"3 BHK Flat in Tollygunge, Kolkata",₹1.45 Cr,986 sqft,3 BHK
"Sherwood Estate
4.0","2 BHK Flat in Narendrapur, Kolkata",₹48 Lac,985 sqft,2 BHK
"Sherwood Estate
4.0","2 BHK Flat in Narendrapur, Kolkata",₹46 Lac,900 sqft,2 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹65 Lac,"1,301 sqft",3 BHK
on request,"2 BHK Flat in DD Block Newtown, Action Area 1",₹60 Lac,841 sqft,2 BHK
bitasta apartment,"2 BHK Flat in Chinar Park, Kolkata",₹46.15 Lac,982 sqft,2 BHK
In Request,"3 BHK Independent Builder Floor in New Garia, Kolkata",₹45.74 Lac,"1,089 sqft",3 BHK
DTC Southern Heights,"3 BHK Flat in Joka, Kolkata South",₹65.99 Lac,"1,062 sqft",3 BHK
DTC Southern Heights,"3 BHK Flat in Joka, Kolkata South",₹70 Lac,"1,260 sqft",3 BHK
Subhasree apartment,"2 BHK Flat in New Barrakpur, Kolkata",₹23.79 Lac,881 sqft,2 BHK
On Request,"3 BHK Flat in Kestopur, Kolkata",₹60 Lac,"1,529 sqft",3 BHK
Eco Star,"3 BHK Flat in New Town, Kolkata",₹79.5 Lac,"1,369 sqft",3 BHK
"Siddha Town
3.8","2 BHK Flat in Rajarhat, Kolkata",₹34 Lac,780 sqft,2 BHK
Binayak 1060,"3 BHK Flat in Nayabad, Kolkata",₹48.76 Lac,"1,060 sqft",3 BHK
"DLF New Town Heights
3.8","2 BHK Flat in New Town, Kolkata",₹85 Lac,"1,257 sqft",2 BHK
On Request,"2 BHK Flat in Swiss Park, Tollygunge",₹75 Lac,880 sqft,2 BHK
On Request,"3 BHK Flat in Mahamayatala, Garia",₹54 Lac,"1,200 sqft",3 BHK
MAHIMA APARTMENT,"2 BHK Flat in Tollygunge, Kolkata",₹33.5 Lac,860 sqft,2 BHK
Residential Apartment,"3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹1.2 Cr,"1,550 sqft",3 BHK
Binayak Santoshpur,"3 BHK Flat in Santoshpur, Kolkata",₹80 Lac,"1,336 sqft",3 BHK
Binayak 922,"2 BHK Flat in Kasba, Kolkata",₹60.85 Lac,922 sqft,2 BHK
"Emami City
4.2","2 BHK Flat in Jessore Road, Kolkata",₹1 Cr,"1,150 sqft",2 BHK
sarovaar,"3 BHK Flat in Action Area 3, Kolkata",₹60.97 Lac,"1,163 sqft",3 BHK
"IRWO Rail Vihar
4.0","3 BHK Flat in New Town, Kolkata",₹1.42 Cr,"1,540 sqft",3 BHK
On Request,"2 BHK Flat in Sakher Bazar, Barisha",₹25.25 Lac,600 sqft,2 BHK
Upohar The Condoville,"3 BHK Flat in Garia, Kolkata",₹1.85 Cr,"2,079 sqft",3 BHK
T Apartment,"2 BHK Flat in Baguiati, Kolkata",₹50 Lac,943 sqft,2 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹48 Lac,"1,300 sqft",3 BHK
On Request,"3 BHK Flat in Sonarpur, Kolkata",₹32 Lac,"1,410 sqft",3 BHK
"Atri Green Valley
3.7","3 BHK Flat in Narendrapur, Kolkata",₹38.5 Lac,"1,310 sqft",3 BHK
Puja Florence,"2 BHK Flat in Garia, Kolkata",₹50 Lac,900 sqft,2 BHK
"Shivam Prisma, Uttarpara","2 BHK Flat in Makhla, Uttarpara",₹19.38 Lac,775 sqft,2 BHK
Siddhaye Apartment 1,"3 BHK Flat in Hindmotor, Uttarpara",₹38.88 Lac,"1,440 sqft",3 BHK
Omkar Apartment,"3 BHK Flat in Nabagram, Hooghly",₹21.27 Lac,945 sqft,3 BHK
"Mani Vista
3.8","3 BHK Flat in Tollygunge, Kolkata",₹2.6 Cr,"1,795 sqft",3 BHK
sonar tori view,"2 BHK Flat in New Barrakpur, Kolkata",₹25.76 Lac,925 sqft,2 BHK
Tirupati Paradise,"2 BHK Flat in Narendrapur, Kolkata",₹33.3 Lac,938 sqft,2 BHK
Subhasree apartment,"2 BHK Flat in New Barrakpur, Kolkata",₹23.79 Lac,881 sqft,2 BHK
Binayak Rose,"3 BHK Flat in Nayabad, Kolkata",₹50.4 Lac,"1,120 sqft",3 BHK
"Siddha Galaxia
4.0","2 BHK Flat in Rajarhat, Kolkata",₹79 Lac,"1,045 sqft",2 BHK
On Request,"2 BHK Flat in New Alipore, Kolkata",₹75 Lac,945 sqft,2 BHK
"residential apartment,airport","2 BHK Flat in Airport 2 No. Gate, North Dumdum",₹26.5 Lac,700 sqft,2 BHK
Joyville Howrah Tower A1- Pinnacle,"2 BHK Flat in Salap, Howrah",₹36.9 Lac,920 sqft,2 BHK
Priva,"3 BHK Flat in New Town, Kolkata",₹1.17 Cr,"1,476 sqft",3 BHK
"IRWO Rail Vihar
4.0","3 BHK Flat in New Town, Kolkata",₹1.42 Cr,"1,540 sqft",3 BHK
Utsa Luxary,"2 BHK Flat in New Town Action area 1A, Kolkata",₹98 Lac,"1,150 sqft",2 BHK
A Residency,"3 BHK Flat in New Town, Kolkata",₹89 Lac,"1,240 sqft",3 BHK
Skyline Apartment II,"3 BHK Flat in Hindmotor, Uttarpara",₹29.4 Lac,"1,050 sqft",3 BHK
Mini Complex,"2 BHK Flat in Garia Station Road, Kolkata",₹39.78 Lac,"1,020 sqft",2 BHK
"Surya Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹17.44 Lac,775 sqft,2 BHK
"Tata Eden Court
3.9","3 BHK Flat in Action Area 2E, Kolkata",₹1.85 Cr,"2,210 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹65 Lac,"1,800 sqft",3 BHK
On Request,"3 BHK Flat in New Alipore, Kolkata",₹1.3 Cr,"1,450 sqft",3 BHK
Gurukul Grande,"3 BHK Flat in New Town, Kolkata",₹77 Lac,"1,100 sqft",3 BHK
On Request,"4 BHK Flat in New Alipore, Kolkata",₹2.75 Cr,"2,900 sqft",4 BHK
Residential Apartment,"3 BHK Flat in Hiland Park, Santoshpur",₹1.15 Cr,"1,264 sqft",3 BHK
VRG AP,"3 BHK Independent Builder Floor in Action Area 2, Kolkata",₹65 Lac,"1,100 sqft",3 BHK
Residential Apartment,"2 BHK Flat in Jodhpur Park, Kolkata",₹1.05 Cr,"1,300 sqft",2 BHK
mirra apartment,"2 BHK Flat in Basunagar, Madhyamgram",₹24 Lac,750 sqft,2 BHK
Residential Apartment,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.45 Cr,"1,450 sqft",3 BHK
Nirvana Apartment II,"3 BHK Flat in Hindmotor, Uttarpara",₹28.35 Lac,"1,050 sqft",3 BHK
Mini Complex,"2 BHK Flat in Kalikapur, Kolkata",₹36 Lac,818 sqft,2 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹52 Lac,"1,293 sqft",3 BHK
Jai Hanuman Residency - New Booking.,"3 BHK Flat in Konnagar, Hooghly",₹21.5 Lac,936 sqft,3 BHK
On Request,"3 BHK Flat in New Town Action Area 2D, Kolkata",₹82 Lac,"1,479 sqft",3 BHK
"Atri Green Valley
3.7","2 BHK Flat in Narendrapur, Kolkata",₹32 Lac,920 sqft,2 BHK
On request,"3 BHK Flat in Parnasree Palli, Behala",₹50.76 Lac,"1,120 sqft",3 BHK
kalar pukur par,"2 BHK Independent Builder Floor in Garia, Kolkata",₹30 Lac,755 sqft,2 BHK
"Emami City
4.2","3 BHK Flat in Jessore Road, Kolkata",₹1.5 Cr,"1,878 sqft",3 BHK
Nirvana Apartment II,"2 BHK Flat in Hindmotor, Uttarpara",₹18.63 Lac,690 sqft,2 BHK
Victoria Vistas,"3 BHK Flat in Bhawanipore, Sarat Bose Road",₹4.25 Cr,"2,323 sqft",3 BHK
Shreshta Garden,"3 BHK Flat in Rajarhat, Kolkata",₹72 Lac,"1,224 sqft",3 BHK
"Siddha Town
3.8","3 BHK Flat in Rajarhat, Kolkata",₹60 Lac,"1,050 sqft",3 BHK
On Request New,"2 BHK Independent Builder Floor in Purbalok, EM Bypass",₹66.95 Lac,"1,030 sqft",2 BHK
Jain Dream Park,"3 BHK Flat in Garia, Kolkata",₹43 Lac,"1,180 sqft",3 BHK
On Request,"2 BHK Flat in Mukundapur, Kolkata",₹25 Lac,700 sqft,2 BHK
On Request,"2 BHK Independent Builder Floor in New Garia, Kolkata",₹28.98 Lac,690 sqft,2 BHK
"Atri Green Valley
3.7","2 BHK Flat in Narendrapur, Kolkata",₹31 Lac,855 sqft,2 BHK
Jai Hanuman Apartment - New Booking,"2 BHK Flat in Konnagar, Hooghly",₹24 Lac,860 sqft,2 BHK
Jai Hanuman Apartment,"2 BHK Flat in Konnagar, Hooghly",₹15.59 Lac,678 sqft,2 BHK
Siddhaye Apartment III,"3 BHK Flat in Hindmotor, Uttarpara",₹36.66 Lac,"1,358 sqft",3 BHK
on request,"2 BHK Flat in Patuli, EM Bypass",₹55.7 Lac,928 sqft,2 BHK
"Siddha Town
3.8","3 BHK Flat in Rajarhat, Kolkata",₹43 Lac,"1,005 sqft",3 BHK
Mini Complex,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹26.71 Lac,636 sqft,2 BHK
On Request New Booking,"3 BHK Independent Builder Floor in Bakultala, Kolkata South",₹46 Lac,"1,250 sqft",3 BHK
On Request,"3 BHK Independent Builder Floor in Patuli, EM Bypass",₹66.9 Lac,"1,115 sqft",3 BHK
Mini Complex,"2 BHK Flat in Garia Station Road, Kolkata",₹37.05 Lac,950 sqft,2 BHK
"DLF New Town Heights
3.8","2 BHK Flat in New Town, Kolkata",₹80 Lac,"1,250 sqft",2 BHK
"Uniworld City
3.8","5 BHK Flat in New Town, Kolkata",₹3 Cr,"5,400 sqft",5 BHK
DC Standalone Building,"3 BHK Flat in New Town, Kolkata",₹85 Lac,"1,250 sqft",3 BHK
"DLF New Town Heights
3.8","2 BHK Flat in New Town, Kolkata",₹80 Lac,"1,257 sqft",2 BHK
"Uniworld City
3.8","2 BHK Flat in New Town, Kolkata",₹1.06 Cr,"1,460 sqft",2 BHK
AK Standalone Building,"3 BHK Flat in New Town, Kolkata",₹1.05 Cr,"1,450 sqft",3 BHK
Miraa apartment,"2 BHK Flat in Madhyamgram, Kolkata",₹23.25 Lac,750 sqft,2 BHK
Unitech Uniworld Horizon,"2 BHK Flat in New Town, Kolkata",₹1.15 Cr,"1,464 sqft",2 BHK
Skyline Apartment II,"2 BHK Flat in Hindmotor, Uttarpara",₹23.8 Lac,850 sqft,2 BHK
"Hiland Park
3.6","3 BHK Flat in EM Bypass, Kolkata South",₹1.2 Cr,"1,328 sqft",3 BHK
CESAB Apartment,"3 BHK Flat in Action Area 1, Kolkata",₹95 Lac,"1,450 sqft",3 BHK
On Request New,"3 BHK Flat in Manton, Diamond Harbour Road",₹1.1 Cr,"1,752 sqft",3 BHK
Om Tower,"3 BHK Flat in Konnagar, Hooghly",₹21.71 Lac,965 sqft,3 BHK
"Unimark Lakewood Estate
3.8","3 BHK Flat in EM Bypass, Kolkata South",₹1.3 Cr,"1,178 sqft",3 BHK
On Request,"3 BHK Flat in Purbalok, EM Bypass",₹57 Lac,"1,170 sqft",3 BHK
Debjit,"2 BHK Flat in Lords More, Lake Gardens, Kolkata",₹55.76 Lac,885 sqft,2 BHK
"Uniworld City
3.8","2 BHK Flat in New Town, Kolkata",₹1.05 Cr,"1,460 sqft",2 BHK
Binayak 1117,"3 BHK Flat in Kasba, Kolkata",₹73.72 Lac,"1,117 sqft",3 BHK
1137 Binayak,"3 BHK Flat in Kasba, Kolkata",₹75.04 Lac,"1,137 sqft",3 BHK
Jai Ganesh Apartment II,"1 BHK Flat in Hindmotor, Uttarpara",₹11.75 Lac,511 sqft,1 BHK
"Uniworld City
3.8","2 BHK Flat in New Town, Kolkata",₹1 Cr,"1,460 sqft",2 BHK
On Request,"3 BHK Independent Builder Floor in New Garia, Kolkata",₹49.69 Lac,"1,183 sqft",3 BHK
"Standalone Apt, Haramohan ghosh lane, kolkata 85","4 BHK Flat in Phoolbagan, Kankurgachi",₹61 Lac,945 sqft,4 BHK
SGIL Residenzza,"2 BHK Flat in Airport, Dum Dum",₹47 Lac,996 sqft,2 BHK
Binayak Irish,"2 BHK Flat in Survey Park, Santoshpur",₹50 Lac,910 sqft,2 BHK
Mini Complex,"2 BHK Flat in Mukundapur, Kolkata",₹36 Lac,780 sqft,2 BHK
Binayak 1183,"3 BHK Flat in Nayabad, Kolkata",₹49.69 Lac,"1,183 sqft",3 BHK
"Uniworld City
3.8","3 BHK Flat in New Town, Kolkata",₹95 Lac,"1,227 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Sakher Bazar, Barisha",₹35 Lac,900 sqft,2 BHK
Shapoorji Palanji,"3 BHK Flat in Action Area 3, Kolkata",₹60 Lac,910 sqft,3 BHK
Pratiksha Apartment,"3 BHK Flat in Behala Thana, Kolkata",₹73 Lac,"1,325 sqft",3 BHK
On Request,"2 BHK Flat in Tollygunge, Kolkata",₹45 Lac,"1,000 sqft",2 BHK
debajit,"3 BHK Flat in Lords More, Lake Gardens, Kolkata",₹1.15 Cr,"1,750 sqft",3 BHK
R Apartment,"2 BHK Flat in Boral, Kolkata",₹26 Lac,800 sqft,2 BHK
Shreshta Garden,"3 BHK Flat in Rajarhat, Kolkata",₹70 Lac,"1,224 sqft",3 BHK
Eco Star,"3 BHK Flat in New Town, Kolkata",₹72.5 Lac,"1,234 sqft",3 BHK
"Om Residency, Hind Motor","2 BHK Flat in Hindmotor, Uttarpara",₹18 Lac,720 sqft,2 BHK
"Hiland Willows
4.0","3 BHK Flat in Action Area 2B, New Town",₹1.3 Cr,"1,788 sqft",3 BHK
"Sureka Sunrise Symphony
3.9","2 BHK Flat in Action Area 2B, New Town",₹49 Lac,831 sqft,2 BHK
on Request,"3 BHK Flat in Rekjuani, Kolkata",₹38.74 Lac,"1,107 sqft",3 BHK
"Shrachi Greenwood Elements
3.9","2 BHK Flat in Action Area 2, Kolkata",₹95 Lac,"1,334 sqft",2 BHK
on request,"3 BHK Flat in AE Block Newtown, New Town",₹91 Lac,"1,350 sqft",3 BHK
Shivom Utopia,"2 BHK Flat in EM Bypass, Kolkata South",₹1.02 Cr,"1,048 sqft",2 BHK
Binayak Jadavpur,"3 BHK Flat in Jadavpur, Kolkata",₹79.8 Lac,"1,140 sqft",3 BHK
Dreamland Apartment,"3 BHK Flat in Narkeldanga, Kolkata",₹61 Lac,"1,360 sqft",3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23.5 Lac,500 sqft,1 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹21.7 Lac,450 sqft,1 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23 Lac,500 sqft,1 BHK
"Bengal Shapoorji Shukhobristhi
4.3","2 BHK Flat in New Town, Kolkata",₹35.5 Lac,700 sqft,2 BHK
"Bengal Shapoorji Shukhobristhi
4.3","3 BHK Flat in New Town, Kolkata",₹55 Lac,900 sqft,3 BHK
Jai Hanuman Tower - New Booking,"2 BHK Flat in Konnagar, Hooghly",₹19 Lac,950 sqft,2 BHK
Sidhidata Apartment - New Booking,"2 BHK Flat in Konnagar, Hooghly",₹17 Lac,726 sqft,2 BHK
Trinoyanee apartment,"1 BHK Flat in Madhyamgram, Kolkata",₹13.6 Lac,425 sqft,1 BHK
Binayak Pragati,"3 BHK Flat in Nayabad, Kolkata",₹46.83 Lac,"1,089 sqft",3 BHK
Nayabad Apartments,"3 BHK Flat in Nayabad, Kolkata",₹39.33 Lac,"1,035 sqft",3 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹40 Lac,"1,100 sqft",3 BHK
On request,"3 BHK Flat in Action Area 1, Kolkata",₹80 Lac,"1,150 sqft",3 BHK
"Elita Garden Vista
4.3","3 BHK Flat in New Town, Kolkata",₹1.25 Cr,"1,809 sqft",3 BHK
PORICHOY APPARTMENT,"2 BHK Flat in Keorapukur Bazar, Putiary, Kolkata",₹20 Lac,600 sqft,2 BHK
On Request,"2 BHK Independent Builder Floor in Mukundapur, Kolkata",₹24 Lac,677 sqft,2 BHK
"Unitech Gardens
4.0","2 BHK Flat in New Town, Kolkata",₹96 Lac,"1,460 sqft",2 BHK
On Request,"4 BHK Flat in New Alipore, Kolkata",₹1.35 Cr,"2,000 sqft",4 BHK
Tirupati Paradise,"3 BHK Flat in Narendrapur, Kolkata",₹37.31 Lac,"1,166 sqft",3 BHK
"residential Apartment,airport","3 BHK Flat in Airport 2 No. Gate, North Dumdum",₹56 Lac,"1,441 sqft",3 BHK
Rajat Avante,"2 BHK Flat in Joka, Kolkata South",₹51.5 Lac,843 sqft,2 BHK
"Shrachi Greenwood Nest
3.8","2 BHK Flat in Action Area 1, Kolkata",₹75 Lac,904 sqft,2 BHK
Mehuli Abasan,"3 BHK Flat in Panchasayar, EM Bypass",₹45.74 Lac,"1,089 sqft",3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23 Lac,480 sqft,1 BHK
"Bengal Shapoorji Shukhobristhi
4.3","3 BHK Flat in New Town, Kolkata",₹64 Lac,901 sqft,3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","3 BHK Flat in New Town, Kolkata",₹57 Lac,901 sqft,3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","3 BHK Flat in New Town, Kolkata",₹55 Lac,901 sqft,3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23 Lac,480 sqft,1 BHK
OAS Lake Life Township,"2 Bedroom House in Joka, Kolkata South",₹39 Lac,"1,080 sqft",2 BHK
Das Villa,"6 Bedroom House in Purbalok, EM Bypass",₹1.5 Cr,"3,000 sqft",6 BHK
OAS Lake Life Township,"3 Bedroom House in Joka, Kolkata South",₹65 Lac,"1,800 sqft",3 BHK
OAS Lake Life Township,"2 BHK Flat in Joka, Kolkata South",₹20.12 Lac,760 sqft,2 BHK
Merlin Elements,"3 BHK Flat in New Alipore, Kolkata",₹2.2 Cr,"1,739 sqft",3 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23 Lac,480 sqft,1 BHK
On Request,"2 Bedroom House in Ramchandrapur, Narendrapur",₹65 Lac,"1,439 sqft",2 BHK
SGIL Gardenia,"3 BHK Flat in Narendrapur, Kolkata",₹43.5 Lac,"1,135 sqft",3 BHK
SGIL Gardenia,"2 BHK Flat in Narendrapur, Kolkata",₹33 Lac,821 sqft,2 BHK
Ambuja Utsa The Condoville,"3 BHK Flat in New Town, Kolkata",₹1.52 Cr,"1,516 sqft",3 BHK
symphony,"2 BHK Flat in Kamalgazi, Southern Bypass",₹48 Lac,915 sqft,2 BHK
"Hiland Willows
4.0","3 BHK Flat in New Town, Kolkata",₹1.25 Cr,"1,788 sqft",3 BHK
Nirvana Apartment,"3 BHK Flat in Hindmotor, Uttarpara",₹26.25 Lac,"1,050 sqft",3 BHK
Jai Hanuman Residency,"1 BHK Flat in Konnagar, Hooghly",₹9.29 Lac,332 sqft,1 BHK
